slug,title,domain,difficulty,skills,description,portfolio_value,project_type,target_roles
cli-toolkit,Personal Command-Line Toolkit,Programming Foundations,Beginner,"Linux Command Line Essentials,Git and GitHub Mastery","Build a small set of shell scripts that automate something you actually do every week, and publish them as a documented GitHub repo.",Medium,tooling,Backend Developer;Full Stack Developer;DevOps Engineer
data-cleaning-sprint,Data Cleaning Sprint,Data Analytics,Beginner,"Excel for Data Analysis,SQL for Beginners","Take a messy public dataset and produce a clean, documented version with a short write-up of every decision you made.",Medium,analysis,Data Analyst;Data Scientist
portfolio-website,Personal Portfolio Website,Web Development,Beginner,"HTML and CSS for Beginners,Responsive Web Design",Design and build a responsive personal portfolio site from scratch — the project every frontend interview expects you to already have.,High,frontend,Frontend Developer
interactive-landing-page,Interactive Product Landing Page,Web Development,Beginner,"JavaScript Fundamentals,Responsive Web Design","Build a landing page with real interactivity — form validation, a mobile nav menu, smooth scrolling — no framework needed yet.",Medium,frontend,Frontend Developer
task-manager-react,Task Management App (React),Web Development,Intermediate,"React.js Development,Modern JavaScript ES6 Plus",Build a full CRUD task manager in React with local state and persistence — the classic frontend portfolio project done properly.,High,frontend,Frontend Developer
ecommerce-frontend-react,E-Commerce Storefront Frontend,Web Development,Advanced,"React.js Development,TypeScript for Developers,REST API Design Principles","Build a product-listing and cart storefront in React + TypeScript that consumes a real REST API — cart state, filtering, checkout flow.",High,frontend,Frontend Developer;Full Stack Developer
url-shortener-api,URL Shortener REST API,Web Development,Beginner,"REST API Design Principles,SQL for Beginners","Build and document a REST API that shortens URLs and tracks click counts — a small, complete backend project with real persistence.",Medium,backend,Backend Developer
auth-service,Authentication Service,Web Development,Intermediate,"Node.js Backend Development,PostgreSQL Database Design","Build a standalone auth service — signup, login, hashed passwords, sessions/JWT — the piece every backend job actually tests for.",High,backend,Backend Developer;Full Stack Developer
django-blog-api,Blog Platform Backend (Django),Web Development,Intermediate,"Django Web Framework,PostgreSQL Database Design","Build a blog backend with posts, comments, and an admin panel in Django — a CRUD-backed API most backend roles expect.",High,backend,Backend Developer
flask-crud-api,CRUD API with Flask,Web Development,Beginner,"Flask API Development,SQL for Beginners","Build a documented CRUD API in Flask for a resource of your choice, with proper status codes and validation.",Medium,backend,Backend Developer
graphql-catalog-api,Product Catalog GraphQL API,Web Development,Advanced,"GraphQL API Development,PostgreSQL Database Design",Build a GraphQL API over a product catalog with nested queries and mutations — shows you can go beyond basic REST.,Medium,backend,Backend Developer
fullstack-task-manager,Full-Stack Task Manager,Web Development,Advanced,"JavaScript Full Stack Development,PostgreSQL Database Design,REST API Design Principles","Build a task manager with a Node.js backend, a database, and a connected frontend — the project that actually proves 'full stack'.",High,fullstack,Full Stack Developer
booking-app-fullstack,Booking / Reservation App,Web Development,Advanced,"Django Web Framework,React.js Development,PostgreSQL Database Design","Build a booking system (appointments, rooms, or events) with a Django backend and a React frontend talking to a real database.",High,fullstack,Full Stack Developer
social-feed-fullstack,Mini Social Feed App,Web Development,Advanced,"Node.js Backend Development,React.js Development,MongoDB for Developers","Build a small social feed — posts, likes, a feed view — full stack, with a NoSQL database backing it.",High,fullstack,Full Stack Developer
weather-app-mobile,Weather App (React Native),Mobile Development,Beginner,"React Native Mobile Development,REST API Design Principles",Build a cross-platform weather app that consumes a real weather API — your first shippable mobile project.,Medium,mobile,Mobile Developer
notes-app-flutter,Notes App (Flutter),Mobile Development,Beginner,Flutter Cross Platform Apps,"Build a notes app with local persistence in Flutter — clean UI, CRUD, and offline storage.",Medium,mobile,Mobile Developer
fitness-tracker-android,Fitness Tracker (Android),Mobile Development,Intermediate,"Android App Development,SQL for Beginners","Build a native Android app that logs workouts to a local database, with charts of progress over time.",High,mobile,Mobile Developer
ios-habit-tracker,Habit Tracker (iOS/Swift),Mobile Development,Intermediate,iOS App Development with Swift,"Build a native iOS habit tracker with local storage and daily reminders — a complete, App-Store-shaped project.",High,mobile,Mobile Developer
cicd-pipeline-demo,CI/CD Pipeline for a Sample App,DevOps,Intermediate,"CI CD Pipeline Setup,Docker and Containerization","Containerize a sample app and wire up a real CI/CD pipeline that tests, builds, and deploys it automatically on every push.",High,devops,DevOps Engineer
containerized-microservice,Containerized Microservice,DevOps,Intermediate,"Docker and Containerization,DevOps Practices and Tools","Take an existing API and properly containerize it — multi-stage Dockerfile, environment config, health checks.",Medium,devops,DevOps Engineer;Backend Developer
k8s-deployment,Kubernetes Deployment of a Web App,DevOps,Advanced,"Kubernetes Orchestration,Docker and Containerization","Deploy a multi-container app to Kubernetes with proper services, config maps, and scaling — the project that proves you can run production infra.",High,devops,DevOps Engineer;Cloud Engineer
monitoring-stack-setup,Monitoring Stack for a Live Service,DevOps,Advanced,"DevOps Practices and Tools,Kubernetes Orchestration",Stand up a monitoring/alerting stack for a running service and document what you'd actually get paged for.,Medium,devops,DevOps Engineer
serverless-api-aws,Serverless API on AWS,Cloud,Intermediate,"AWS Cloud Practitioner,REST API Design Principles","Build and deploy a serverless REST API on AWS — real deployment, not just theory.",High,cloud,Cloud Engineer;Backend Developer
